     %   cumulative   self              self     total
    time   seconds   seconds    calls  ms/call  ms/call  name
    0.03    55.24      0.02     1169     0.01     0.01  Sprite_AoE_Circle#no_aoe?
    0.03    55.25      0.02      647     0.02     0.02  Scene_Battle#move_info_viewport
    0.03    55.27      0.02      679     0.02     0.02  Graphics#fps_sprite
    0.03    55.28      0.02     3069     0.00     0.00  Exception#set_backtrace
    0.03    55.30      0.02       38     0.39     0.39  Window_Selectable#contents_height
    0.03    55.31      0.02      337     0.04     0.23  Window_Base#draw_text
    0.03    55.33      0.02      279     0.05     0.22  Spriteset_Battle#skill_busy?
    0.03    55.34      0.02     7549     0.00     0.00  Bitmap#height
    0.03    55.36      0.02     3069     0.00     0.00  Exception#backtrace
    0.03    55.37      0.02     1933     0.01     0.07  Enumerable#any?
    0.03    55.39      0.02      684     0.02     0.05  Window_NumberInput#item_rect
    0.03    55.40      0.02      681     0.02     0.46  Sprite_OneAnim#update
    0.03    55.42      0.02     2022     0.01     0.01  Game_Actor#class
    0.03    55.43      0.02     2999     0.01     0.01  Float#round
    0.03    55.45      0.02     3758     0.00     0.00  Array#[]=
    0.03    55.46      0.02     2727     0.01     0.01  Sprite_AnimState#move_animation
    0.03    55.48      0.02      752     0.02     0.19  Scene_Battle#all_battle_members
    0.03    55.49      0.02     1380     0.01     0.01  Game_Actor#id
    0.03    55.51      0.02      681     0.02     0.14  Game_Backdrop#screen_y2
    0.03    55.52      0.02     3069     0.00     0.00  Module#===
    0.03    55.54      0.02     1857     0.01     0.01  Fixnum#/
    0.03    55.55      0.02     2724     0.01     0.08  Cache#battler
    0.03    55.57      0.02     1362     0.01     0.02  Game_Backdrop#zoom_2
    0.03    55.58      0.02      679     0.02    11.72  Scene_Base#update_all_windows
    0.03    55.60      0.02      681     0.02     0.37  Game_Actor#equips
    0.03    55.61      0.02     1362     0.01     0.02  Spriteset_Weather#sprite_max
    0.03    55.63      0.02     1531     0.01     0.02  Enumerable#inject
    0.03    55.64      0.02        4     3.75     3.75  Scene_Battle#check_skill_guard
    0.03    55.66      0.02      156     0.10     0.10  Game_Actor#param_base
    0.03    55.67      0.02      679     0.02     0.07  Game_BattleScreen#update_sound_effect
    0.03    55.69      0.02      681     0.02     0.02  Spriteset_Battle#update_battleback2
    0.03    55.70      0.02      680     0.02     0.26  Cache#battleback1
    0.03    55.72      0.02      682     0.02     0.04  Sprite_Timer#update_bitmap
    0.03    55.73      0.02     1360     0.01     0.03  Sprite_AoE_Circle#update_visible
    0.03    55.75      0.02      276     0.05     0.05  Sprite_PopupLuna#update_zoom
    0.03    55.76      0.02     6129     0.00     0.00  Plane#ox=
    0.03    55.78      0.02      680     0.02     0.09  BasicObject#!=
    0.03    55.79      0.02     6810     0.00     0.00  Viewport#update
    0.03    55.81      0.02      676     0.02     0.07  THEO::Circular::Circular_Obj#range_x
    0.03    55.82      0.02      682     0.02     0.02  Game_Backdrop#initpos_1
    0.03    55.84      0.02      683     0.02     0.02  Game_Timer#sec
    0.03    55.85      0.02     2720     0.01     0.01  Math#cos
    0.03    55.87      0.02      684     0.02     0.02  Window_NumberInput#process_handling
    0.03    55.88      0.02       12     1.25     1.25  Window_Base#fitting_height
    0.03    55.90      0.01      116     0.13     0.27  RPG::UsableItem#load_notetags_aoe
    0.03    55.91      0.01     1360     0.01     0.02  Sprite_AoE_Circle#update_glow
    0.03    55.93      0.01      103     0.15     0.15  Kernel#initialize_clone
    0.03    55.94      0.01     4086     0.00     0.00  Sprite_AnimState#fix_animation_sprites
    0.03    55.96      0.01      836     0.02     0.02  BattleManager#in_turn?
    0.03    55.97      0.01      184     0.08     0.08  Game_Actor#input
    0.03    55.99      0.01       48     0.31     1.96  Sprite_BattlerIcon#update_key
    0.03    56.00      0.01      176     0.09     0.44  TSBS_Afterimages#on_after_cloning
    0.03    56.02      0.01     4367     0.00     0.01  Rect#x=
    0.03    56.03      0.01     1567     0.01     0.01  TSBS::Screen_Point#set
    0.03    56.05      0.01        4     3.75     3.75  Game_Action#opponents_unit
    0.00    56.05      0.00        8     0.00  1041.12  DataManager#load_database
